2026-07-04 22:19:39 | ticketvision.dataset | INFO     | Validation split saved to: D:\MLPs\TicketVision AI\data\processed\validation.csv (30,000 rows)
2026-07-04 22:19:39 | ticketvision.dataset | INFO     | Test split saved to: D:\MLPs\TicketVision AI\data\processed\test.csv (30,000 rows)
2026-07-04 22:19:41 | ticketvision.dataset | INFO     | Tokenizer fitted — 74 unique tokens, vocab capped at 75.
2026-07-04 22:19:41 | ticketvision.dataset | INFO     | Tokenizer saved to: D:\MLPs\TicketVision AI\data\processed\tokenizer.json
2026-07-04 22:19:41 | ticketvision.dataset | INFO     | Encoding sequences — max_len=150, padding='post', truncating='post'.
2026-07-04 22:19:45 | ticketvision.dataset | INFO     | Sequence shapes — Train: (140000, 150) | Val: (30000, 150) | Test: (30000, 150)
2026-07-04 22:19:45 | ticketvision.dataset | INFO     | tf.data pipelines built (batch_size=64).
2026-07-04 22:19:45 | ticketvision.dataset | INFO     | Dataset preparation complete.
2026-07-04 22:51:24 | ticketvision.models.rnn | INFO     | Building Simple-RNN model …
2026-07-04 22:51:24 | ticketvision.models.rnn | INFO     |   vocab=20,000  embed=128  seq_len=150  rnn_units=128  layers=2  classes=10  dropout=0.30  rec_dropout=0.20
2026-07-04 22:51:24 | ticketvision.models.rnn | INFO     | Model graph constructed successfully.
2026-07-04 22:51:24 | ticketvision.models.rnn | INFO     | Model compiled — optimizer=Adam(lr=0.001), loss=SparseCategoricalCrossentropy, metrics=[accuracy].
2026-07-04 23:19:03 | ticketvision.dataset | INFO     | No DataFrame supplied — running preprocessing pipeline.
2026-07-04 23:19:03 | ticketvision.preprocessing | INFO     | No DataFrame supplied — loading from raw dataset.
2026-07-04 23:19:03 | ticketvision.data_loader | INFO     | Loading dataset from: D:\MLPs\TicketVision AI\data\raw\customer_support_tickets_200k.csv
2026-07-04 23:19:03 | ticketvision.data_loader | INFO     | Dataset loaded successfully.
2026-07-04 23:19:03 | ticketvision.data_loader | INFO     | Column validation passed — all required columns present.
2026-07-04 23:19:03 | ticketvision.data_loader | INFO     | Dataset shape    : 200,000 rows x 3 columns.
2026-07-04 23:19:03 | ticketvision.data_loader | INFO     | Data types:
2026-07-04 23:19:03 | ticketvision.data_loader | INFO     |   product                   : object
2026-07-04 23:19:03 | ticketvision.data_loader | INFO     |   category                  : object
2026-07-04 23:19:03 | ticketvision.data_loader | INFO     |   issue_description         : object
2026-07-04 23:19:03 | ticketvision.data_loader | INFO     | Missing values   : None detected.
2026-07-04 23:19:03 | ticketvision.data_loader | WARNING  | Duplicate rows   : 199000 (99.50% of dataset).
2026-07-04 23:19:03 | ticketvision.data_loader | INFO     | Class distribution (10 unique categories):
2026-07-04 23:19:03 | ticketvision.data_loader | INFO     |   Feature Request                :  20169  (10.08%)
